id,instruction,question,prompt_template,gold_response,generated_response,response_history,context,prompt,hallucination
0,,What is the capital of France?,"Answer the following question.
Question: {question}",Paris,The capital of France is Paris.,,,"Answer the following question.
Question: What is the capital of France?",0
1,,What is the capital of Germany?,"Answer the following question.
Question: {question}",Berlin,The capital of Germany is Berlin.,,,"Answer the following question.
Question: What is the capital of Germany?",0
2,,What is the capital of Japan?,"Answer the following question.
Question: {question}",Tokyo,The capital of Japan is Tokyo.,,,"Answer the following question.
Question: What is the capital of Japan?",0
3,,What is the capital of Australia?,"Answer the following question.
Question: {question}",Canberra,The capital of Australia is Canberra.,,,"Answer the following question.
Question: What is the capital of Australia?",0
4,,What is the capital of Brazil?,"Answer the following question.
Question: {question}",Brasília,The capital of Brazil is Brasília.,,,"Answer the following question.
Question: What is the capital of Brazil?",0
5,,What is the capital of France?,"Answer the following question.
Question: {question}",Paris,The capital of France is Lyon.,,,"Answer the following question.
Question: What is the capital of France?",1
6,,What is the capital of Germany?,"Answer the following question.
Question: {question}",Berlin,The capital of Germany is Munich.,,,"Answer the following question.
Question: What is the capital of Germany?",1
7,,What is the capital of Japan?,"Answer the following question.
Question: {question}",Tokyo,The capital of Japan is Osaka.,,,"Answer the following question.
Question: What is the capital of Japan?",1
8,,What is the capital of Australia?,"Answer the following question.
Question: {question}",Canberra,The capital of Australia is Sydney.,,,"Answer the following question.
Question: What is the capital of Australia?",1
9,,What is the capital of Brazil?,"Answer the following question.
Question: {question}",Brasília,The capital of Brazil is São Paulo.,,,"Answer the following question.
Question: What is the capital of Brazil?",1
10,,What is the chemical symbol for gold?,"Answer the following question.
Question: {question}",Au,The chemical symbol for gold is Au.,,,"Answer the following question.
Question: What is the chemical symbol for gold?",0
11,,How many bones are in the adult human body?,"Answer the following question.
Question: {question}",206,The adult human body has 206 bones.,,,"Answer the following question.
Question: How many bones are in the adult human body?",0
12,,What planet is closest to the Sun?,"Answer the following question.
Question: {question}",Mercury,Mercury is the planet closest to the Sun.,,,"Answer the following question.
Question: What planet is closest to the Sun?",0
13,,What is the atomic number of carbon?,"Answer the following question.
Question: {question}",6,Carbon has an atomic number of 6.,,,"Answer the following question.
Question: What is the atomic number of carbon?",0
14,,What is the powerhouse of the cell?,"Answer the following question.
Question: {question}",Mitochondria,The mitochondria is the powerhouse of the cell.,,,"Answer the following question.
Question: What is the powerhouse of the cell?",0
15,,What is the chemical symbol for gold?,"Answer the following question.
Question: {question}",Au,The chemical symbol for gold is Go.,,,"Answer the following question.
Question: What is the chemical symbol for gold?",1
16,,How many bones are in the adult human body?,"Answer the following question.
Question: {question}",206,The adult human body has 300 bones.,,,"Answer the following question.
Question: How many bones are in the adult human body?",1
17,,What planet is closest to the Sun?,"Answer the following question.
Question: {question}",Mercury,Venus is the planet closest to the Sun.,,,"Answer the following question.
Question: What planet is closest to the Sun?",1
18,,What is the atomic number of carbon?,"Answer the following question.
Question: {question}",6,Carbon has an atomic number of 12.,,,"Answer the following question.
Question: What is the atomic number of carbon?",1
19,,What is the powerhouse of the cell?,"Answer the following question.
Question: {question}",Mitochondria,The nucleus is the powerhouse of the cell.,,,"Answer the following question.
Question: What is the powerhouse of the cell?",1
20,,In what year did World War II end?,"Answer the following question.
Question: {question}",1945,World War II ended in 1945.,,,"Answer the following question.
Question: In what year did World War II end?",0
21,,Who was the first US President?,"Answer the following question.
Question: {question}",George Washington,George Washington was the first US President.,,,"Answer the following question.
Question: Who was the first US President?",0
22,,Who wrote the play Hamlet?,"Answer the following question.
Question: {question}",William Shakespeare,William Shakespeare wrote Hamlet.,,,"Answer the following question.
Question: Who wrote the play Hamlet?",0
23,,In what year did humans first land on the Moon?,"Answer the following question.
Question: {question}",1969,Humans first landed on the Moon in 1969.,,,"Answer the following question.
Question: In what year did humans first land on the Moon?",0
24,,Who painted the Mona Lisa?,"Answer the following question.
Question: {question}",Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,,,"Answer the following question.
Question: Who painted the Mona Lisa?",0
25,,In what year did World War II end?,"Answer the following question.
Question: {question}",1945,World War II ended in 1944.,,,"Answer the following question.
Question: In what year did World War II end?",1
26,,Who was the first US President?,"Answer the following question.
Question: {question}",George Washington,Benjamin Franklin was the first US President.,,,"Answer the following question.
Question: Who was the first US President?",1
27,,Who wrote the play Hamlet?,"Answer the following question.
Question: {question}",William Shakespeare,Christopher Marlowe wrote Hamlet.,,,"Answer the following question.
Question: Who wrote the play Hamlet?",1
28,,In what year did humans first land on the Moon?,"Answer the following question.
Question: {question}",1969,Humans first landed on the Moon in 1972.,,,"Answer the following question.
Question: In what year did humans first land on the Moon?",1
29,,Who painted the Mona Lisa?,"Answer the following question.
Question: {question}",Leonardo da Vinci,Michelangelo painted the Mona Lisa.,,,"Answer the following question.
Question: Who painted the Mona Lisa?",1
30,,What is the square root of 144?,"Answer the following question.
Question: {question}",12,The square root of 144 is 12.,,,"Answer the following question.
Question: What is the square root of 144?",0
31,,How many sides does a hexagon have?,"Answer the following question.
Question: {question}",6,A hexagon has 6 sides.,,,"Answer the following question.
Question: How many sides does a hexagon have?",0
32,,What is the sum of angles in a triangle?,"Answer the following question.
Question: {question}",180 degrees,The sum of angles in a triangle is 180 degrees.,,,"Answer the following question.
Question: What is the sum of angles in a triangle?",0
33,,What is 2 to the power of 10?,"Answer the following question.
Question: {question}",1024,2 to the power of 10 is 1024.,,,"Answer the following question.
Question: What is 2 to the power of 10?",0
34,,What is the factorial of 5?,"Answer the following question.
Question: {question}",120,The factorial of 5 is 120.,,,"Answer the following question.
Question: What is the factorial of 5?",0
35,,What is the square root of 144?,"Answer the following question.
Question: {question}",12,The square root of 144 is 14.,,,"Answer the following question.
Question: What is the square root of 144?",1
36,,How many sides does a hexagon have?,"Answer the following question.
Question: {question}",6,A hexagon has 8 sides.,,,"Answer the following question.
Question: How many sides does a hexagon have?",1
37,,What is the sum of angles in a triangle?,"Answer the following question.
Question: {question}",180 degrees,The sum of angles in a triangle is 360 degrees.,,,"Answer the following question.
Question: What is the sum of angles in a triangle?",1
38,,What is 2 to the power of 10?,"Answer the following question.
Question: {question}",1024,2 to the power of 10 is 512.,,,"Answer the following question.
Question: What is 2 to the power of 10?",1
39,,What is the factorial of 5?,"Answer the following question.
Question: {question}",120,The factorial of 5 is 60.,,,"Answer the following question.
Question: What is the factorial of 5?",1
40,,Who wrote 'Pride and Prejudice'?,"Answer the following question.
Question: {question}",Jane Austen,Jane Austen wrote 'Pride and Prejudice'.,,,"Answer the following question.
Question: Who wrote 'Pride and Prejudice'?",0
41,,Who wrote '1984'?,"Answer the following question.
Question: {question}",George Orwell,George Orwell wrote '1984'.,,,"Answer the following question.
Question: Who wrote '1984'?",0
42,,Who wrote 'The Great Gatsby'?,"Answer the following question.
Question: {question}",F. Scott Fitzgerald,F. Scott Fitzgerald wrote 'The Great Gatsby'.,,,"Answer the following question.
Question: Who wrote 'The Great Gatsby'?",0
43,,Who wrote 'Don Quixote'?,"Answer the following question.
Question: {question}",Miguel de Cervantes,Miguel de Cervantes wrote 'Don Quixote'.,,,"Answer the following question.
Question: Who wrote 'Don Quixote'?",0
44,,Who wrote 'War and Peace'?,"Answer the following question.
Question: {question}",Leo Tolstoy,Leo Tolstoy wrote 'War and Peace'.,,,"Answer the following question.
Question: Who wrote 'War and Peace'?",0
45,,Who wrote 'Pride and Prejudice'?,"Answer the following question.
Question: {question}",Jane Austen,Charlotte Brontë wrote 'Pride and Prejudice'.,,,"Answer the following question.
Question: Who wrote 'Pride and Prejudice'?",1
46,,Who wrote '1984'?,"Answer the following question.
Question: {question}",George Orwell,Aldous Huxley wrote '1984'.,,,"Answer the following question.
Question: Who wrote '1984'?",1
47,,Who wrote 'The Great Gatsby'?,"Answer the following question.
Question: {question}",F. Scott Fitzgerald,Ernest Hemingway wrote 'The Great Gatsby'.,,,"Answer the following question.
Question: Who wrote 'The Great Gatsby'?",1
48,,Who wrote 'Don Quixote'?,"Answer the following question.
Question: {question}",Miguel de Cervantes,Gabriel García Márquez wrote 'Don Quixote'.,,,"Answer the following question.
Question: Who wrote 'Don Quixote'?",1
49,,Who wrote 'War and Peace'?,"Answer the following question.
Question: {question}",Leo Tolstoy,Anton Chekhov wrote 'War and Peace'.,,,"Answer the following question.
Question: Who wrote 'War and Peace'?",1
50,,What is the basic unit of life?,"Answer the following question.
Question: {question}",Cell,The cell is the basic unit of life.,,,"Answer the following question.
Question: What is the basic unit of life?",0
51,,What carries oxygen in red blood cells?,"Answer the following question.
Question: {question}",Hemoglobin,Hemoglobin carries oxygen in red blood cells.,,,"Answer the following question.
Question: What carries oxygen in red blood cells?",0
52,,How many chambers does the human heart have?,"Answer the following question.
Question: {question}",4,The human heart has four chambers.,,,"Answer the following question.
Question: How many chambers does the human heart have?",0
53,,What is DNA short for?,"Answer the following question.
Question: {question}",Deoxyribonucleic acid,DNA stands for deoxyribonucleic acid.,,,"Answer the following question.
Question: What is DNA short for?",0
54,,What organ produces insulin?,"Answer the following question.
Question: {question}",Pancreas,The pancreas produces insulin.,,,"Answer the following question.
Question: What organ produces insulin?",0
55,,What is the basic unit of life?,"Answer the following question.
Question: {question}",Cell,The atom is the basic unit of life.,,,"Answer the following question.
Question: What is the basic unit of life?",1
56,,What carries oxygen in red blood cells?,"Answer the following question.
Question: {question}",Hemoglobin,Myoglobin carries oxygen in red blood cells.,,,"Answer the following question.
Question: What carries oxygen in red blood cells?",1
57,,How many chambers does the human heart have?,"Answer the following question.
Question: {question}",4,The human heart has three chambers.,,,"Answer the following question.
Question: How many chambers does the human heart have?",1
58,,What is DNA short for?,"Answer the following question.
Question: {question}",Deoxyribonucleic acid,DNA stands for deoxyribose nucleic acid.,,,"Answer the following question.
Question: What is DNA short for?",1
59,,What organ produces insulin?,"Answer the following question.
Question: {question}",Pancreas,The liver produces insulin.,,,"Answer the following question.
Question: What organ produces insulin?",1
60,,Who co-founded Apple Inc.?,"Answer the following question.
Question: {question}",Steve Jobs and Steve Wozniak,Steve Jobs and Steve Wozniak co-founded Apple Inc.,,,"Answer the following question.
Question: Who co-founded Apple Inc.?",0
61,,What does CPU stand for?,"Answer the following question.
Question: {question}",Central Processing Unit,CPU stands for Central Processing Unit.,,,"Answer the following question.
Question: What does CPU stand for?",0
62,,What programming language did Guido van Rossum create?,"Answer the following question.
Question: {question}",Python,Python was created by Guido van Rossum.,,,"Answer the following question.
Question: What programming language did Guido van Rossum create?",0
63,,What does HTTP stand for?,"Answer the following question.
Question: {question}",HyperText Transfer Protocol,HTTP stands for HyperText Transfer Protocol.,,,"Answer the following question.
Question: What does HTTP stand for?",0
64,,In what year was the World Wide Web invented?,"Answer the following question.
Question: {question}",1989,The World Wide Web was invented in 1989 by Tim Berners-Lee.,,,"Answer the following question.
Question: In what year was the World Wide Web invented?",0
65,,Who co-founded Apple Inc.?,"Answer the following question.
Question: {question}",Steve Jobs and Steve Wozniak,Bill Gates and Paul Allen co-founded Apple Inc.,,,"Answer the following question.
Question: Who co-founded Apple Inc.?",1
66,,What does CPU stand for?,"Answer the following question.
Question: {question}",Central Processing Unit,CPU stands for Computer Processing Unit.,,,"Answer the following question.
Question: What does CPU stand for?",1
67,,What programming language did Guido van Rossum create?,"Answer the following question.
Question: {question}",Python,Java was created by Guido van Rossum.,,,"Answer the following question.
Question: What programming language did Guido van Rossum create?",1
68,,What does HTTP stand for?,"Answer the following question.
Question: {question}",HyperText Transfer Protocol,HTTP stands for High-Transfer Text Protocol.,,,"Answer the following question.
Question: What does HTTP stand for?",1
69,,In what year was the World Wide Web invented?,"Answer the following question.
Question: {question}",1989,The World Wide Web was invented in 1995 by Steve Jobs.,,,"Answer the following question.
Question: In what year was the World Wide Web invented?",1
